Timestamp,a,b,c,d,e,light_intensity
2023-05-23 13:00:00,4.0,,,,,491
2023-05-23 18:00:00,4.0,,,16.0,,50
2023-05-23 19:00:00,28.0,,22.0,32.0,11.0,53
2023-05-23 20:00:00,36.0,,53.0,19.0,28.0,65
2023-05-23 21:00:00,39.0,,14.0,19.0,10.0,69
2023-05-23 22:00:00,43.0,,12.0,31.0,23.0,53
2023-05-23 23:00:00,4.0,,6.0,23.0,18.0,50
2023-05-24 00:00:00,4.0,,7.0,36.0,,51
2023-05-24 01:00:00,11.0,,4.0,8.0,,50
2023-05-24 02:00:00,29.0,,14.0,4.0,18.0,53
2023-05-24 03:00:00,55.0,,12.0,12.0,23.0,59
2023-05-24 04:00:00,47.0,3.0,8.0,30.0,9.0,67
2023-05-24 05:00:00,,6.0,,,,50
2023-05-24 06:00:00,,81.0,4.0,,4.0,50
2023-05-24 07:00:00,,30.0,,,,62
2023-05-24 08:00:00,16.0,46.0,4.0,20.0,17.0,50
2023-05-24 09:00:00,21.0,104.0,17.0,9.0,5.0,543
2023-05-24 10:00:00,2.0,,,,,468
2023-05-24 14:00:00,,,7.0,,2.0,527
2023-05-24 15:00:00,,,5.0,,,517
2023-05-24 17:00:00,,,11.0,,,50
2023-05-24 19:00:00,,,20.0,,,50
2023-05-24 20:00:00,8.0,6.0,31.0,,,50
2023-05-24 21:00:00,,4.0,25.0,,,66
2023-05-24 22:00:00,4.0,,4.0,,,50
2023-05-25 00:00:00,4.0,4.0,7.0,,,50
2023-05-25 01:00:00,,4.0,3.0,,,50
2023-05-25 02:00:00,,,8.0,,,68
2023-05-25 03:00:00,,,7.0,,,50
2023-05-25 04:00:00,4.0,7.0,11.0,,,50
2023-05-25 05:00:00,4.0,61.0,15.0,,,54
2023-05-25 07:00:00,6.0,24.0,4.0,6.0,,50
2023-05-25 08:00:00,11.0,19.0,15.0,2.0,,50
2023-05-25 11:00:00,21.0,24.0,34.0,9.0,,475
2023-05-25 12:00:00,4.0,3.0,,,,513
2023-05-25 14:00:00,18.0,25.0,11.0,,,535
